name,industry,subindustry,identified,line,model,written_at
Vitalik Buterin,Business,Entrepreneur,true,"Co-founder of Ethereum, a decentralized blockchain platform supporting smart contracts and decentralized applications. He co-founded Bitcoin Magazine and writes on cryptocurrency governance and software development.",gemini-3.8-flash,2026-09-10T00:37:52.043Z
Michael Saylor,Business,Entrepreneur,true,"Co-founder and executive chairman of MicroStrategy, a business intelligence software company. He directed the firm's corporate treasury strategy into Bitcoin acquisition and advocates for cryptocurrency adoption in corporate finance.",gemini-3.8-flash,2026-09-10T00:37:52.044Z
Bryan Johnson,Business,Entrepreneur,true,"Founder of payment processor Braintree and neurotechnology company Kernel. He established Project Blueprint, a health protocol examining human longevity through biomedical monitoring.",gemini-3.8-flash,2026-09-10T00:37:52.044Z
Grant Cardone,Business,Entrepreneur,true,"Real estate investor, sales trainer, and founder of Cardone Capital. He authored books on sales strategy, hosts real estate conferences, and manages commercial and multifamily property portfolios.",gemini-3.8-flash,2026-09-10T00:37:52.045Z
Rich Paul,Business,Entrepreneur,true,"Sports agent and founder of Klutch Sports Group, representing athletes across professional basketball and American football. He serves on the board of directors of United Talent Agency.",gemini-3.8-flash,2026-09-10T00:37:52.045Z
Flavio Briatore,Business,Entrepreneur,true,"Italian businessman who managed the Benetton and Renault Formula One teams, securing World Constructors' Championships with both organizations. He also founded the hospitality and entertainment company Billionaire Life.",gemini-3.8-flash,2026-09-10T00:37:52.046Z
Codie Sanchez,Business,Entrepreneur,true,"Founder and CEO of Contrarian Thinking, a financial media and investment firm focused on small businesses. She previously worked in private equity and asset management, specializing in institutional Latin American investments.",gemini-3.8-flash,2026-09-10T00:37:52.046Z
Scott Boras,Business,Entrepreneur,true,"Sports agent and founder of the Boras Corporation, representing professional baseball players in Major League Baseball. He negotiates player contracts and arbitration cases with league franchises.",gemini-3.8-flash,2026-09-10T00:37:52.046Z
Tim Cook,Business,Executive,true,"Chief executive officer of Apple Inc., having previously served as the company's chief operating officer. He oversees the development, manufacturing, and global distribution of consumer electronics, operating systems, and digital services.",gemini-3.8-flash,2026-09-10T00:37:52.047Z
Steve Ballmer,Business,Executive,true,"Owner of the Los Angeles Clippers basketball team and former chief executive officer of Microsoft. He led Microsoft through the expansion of its enterprise software, server products, and gaming divisions.",gemini-3.8-flash,2026-09-10T00:37:52.048Z
Adam Silver,Business,Executive,true,"Commissioner of the National Basketball Association, having previously served as deputy commissioner and chief operating officer. He oversees league business operations, collective bargaining agreements, and international media distribution.",gemini-3.8-flash,2026-09-10T00:37:52.049Z
Steve Cohen,Business,Executive,true,Owner of the New York Mets baseball team and founder of hedge fund Point72 Asset Management. He previously founded SAC Capital Advisors and operates across institutional asset management and sports governance.,gemini-3.8-flash,2026-09-10T00:37:52.050Z
Rob Manfred,Business,Executive,true,"Commissioner of Major League Baseball, having previously served as the league's chief operating officer and executive vice president. He oversees professional baseball administration, labor negotiations, and rule modifications.",gemini-3.8-flash,2026-09-10T00:37:52.050Z
Warren Buffett,Business,Investor,true,"Chairman and chief executive officer of Berkshire Hathaway, a multinational holding company. He directs capital allocation across insurance, energy, and railroad subsidiaries, and co-founded the Giving Pledge philanthropic initiative.",gemini-3.8-flash,2026-09-10T00:37:52.051Z
Joe Rogan,Comedy,,true,"Stand-up comedian, color commentator for the Ultimate Fighting Championship, and host of the podcast The Joe Rogan Experience. He performs touring comedy and founded the Comedy Mothership comedy club.",gemini-3.8-flash,2026-09-10T00:37:52.051Z
Theo Von,Comedy,,true,"Stand-up comedian, television personality, and host of the podcast This Past Weekend. He performs touring stand-up comedy specials and previously co-hosted the podcast The King and the Sting.",gemini-3.8-flash,2026-09-10T00:37:52.052Z
Shane Gillis,Comedy,,true,"Stand-up comedian, actor, and co-host of Matt and Shane's Secret Podcast. He created and starred in the comedy series Tires and performs stand-up comedy specials for streaming platforms.",gemini-3.8-flash,2026-09-10T00:37:52.053Z
Tony Hinchcliffe,Comedy,,true,"Stand-up comedian, writer, and host of the live comedy podcast Kill Tony. He performs touring stand-up comedy and has written for television roast specials.",gemini-3.8-flash,2026-09-10T00:37:52.053Z
Dave Chappelle,Comedy,Comedians,true,"Stand-up comedian and actor known for his sketch series Chappelle's Show and comedy specials. He has received the Mark Twain Prize for American Humor, Emmy Awards, and Grammy Awards.",gemini-3.8-flash,2026-09-10T00:37:51.180Z
Kevin Hart,Comedy,Comedians,true,Stand-up comedian and actor known for headlining arena comedy tours and appearing in studio comedy films. He has received the Mark Twain Prize for American Humor and People's Choice Awards.,gemini-3.8-flash,2026-09-10T00:37:51.181Z
Chris Rock,Comedy,Comedians,true,Stand-up comedian and actor known for his stand-up specials and work on Saturday Night Live. He has hosted the Academy Awards and received Grammy Awards and Emmy Awards.,gemini-3.8-flash,2026-09-10T00:37:51.182Z
Conan O'Brien,Comedy,Comedians,true,"Comedian, television host, and writer known for hosting late-night television talk shows and the podcast Conan O'Brien Needs a Friend. He has received Emmy Awards.",gemini-3.8-flash,2026-09-10T00:37:51.183Z
Jimmy Kimmel,Comedy,Comedians,true,Comedian and television host known for hosting the late-night show Jimmy Kimmel Live!. He has hosted the Academy Awards and the Primetime Emmy Awards.,gemini-3.8-flash,2026-09-10T00:37:51.184Z
Jon Stewart,Comedy,Comedians,true,"Comedian, writer, and television host known for hosting The Daily Show. He has received the Mark Twain Prize for American Humor, Primetime Emmy Awards, and Grammy Awards.",gemini-3.8-flash,2026-09-10T00:37:51.184Z
Ellen DeGeneres,Comedy,Comedians,true,Stand-up comedian and television host known for the sitcom Ellen and the syndicated daytime talk show The Ellen DeGeneres Show. She has received the Presidential Medal of Freedom and Emmy Awards.,gemini-3.8-flash,2026-09-10T00:37:51.186Z
Pete Davidson,Comedy,Comedians,true,Stand-up comedian and actor known for his tenure as a cast member on Saturday Night Live and for co-writing and starring in the film The King of Staten Island.,gemini-3.8-flash,2026-09-10T00:37:51.187Z
Cody Ko,Comedy,Comedians,true,Comedian and internet personality known for comedy commentary videos and co-hosting the podcast Tiny Meat Gang. He also performs stand-up comedy and records music.,gemini-3.8-flash,2026-09-10T00:37:51.188Z
Jake Shane,Comedy,Comedians,true,Comedian and internet personality known for comedic reenactment videos on social media and for hosting the interview podcast Therapuss.,gemini-3.8-flash,2026-09-10T00:37:51.188Z
Ali Siddiq,Comedy,Comedians,true,"Stand-up comedian and storyteller known for his comedy specials, including The Domino Effect series, and appearances on Comedy Central's This Is Not Happening.",gemini-3.8-flash,2026-09-10T00:37:51.189Z
Hans Kim,Comedy,Comedians,true,Stand-up comedian known for his recurring appearances as an opening performer on the live podcast Kill Tony and for headlining national comedy club tours.,gemini-3.8-flash,2026-09-10T00:37:51.190Z
Kyle Kinane,Comedy,Comedians,true,"Stand-up comedian and voice actor known for his comedy specials, appearances on Comedy Central, and providing voice work as the network's on-air announcer.",gemini-3.8-flash,2026-09-10T00:37:51.190Z
Sam Tallent,Comedy,Comedians,true,"Stand-up comedian and writer known for his touring stand-up work, his comedy special The Waiting Room, and his novel Running the Light.",gemini-3.8-flash,2026-09-10T00:37:51.191Z
Matthew McConaughey,Film and TV,,true,Actor known for leading roles in feature films and the television series True Detective. He has received the Academy Award for Best Actor.,gemini-3.8-flash,2026-09-10T00:37:51.191Z
Dwayne Johnson,Film and TV,Actors,true,"Actor, producer, and professional wrestler known for leading roles in studio action and comedy films, including the Fast & Furious franchise and Jumanji series.",gemini-3.8-flash,2026-09-10T00:37:51.192Z
Leonardo DiCaprio,Film and TV,Actors,true,"Actor and producer known for leading roles in feature films across drama, crime, and historical genres. He has received the Academy Award for Best Actor.",gemini-3.8-flash,2026-09-10T00:37:51.193Z
Tom Cruise,Film and TV,Actors,true,"Actor and producer known for performing his own stunt work and starring in feature film franchises, including Mission: Impossible and Top Gun.",gemini-3.8-flash,2026-09-10T00:37:51.193Z
Brad Pitt,Film and TV,Actors,true,Actor and film producer known for leading roles in feature films and producing work through Plan B Entertainment. He has received Academy Awards for acting and producing.,gemini-3.8-flash,2026-09-10T00:37:51.194Z
Tom Hanks,Film and TV,Actors,true,Actor and filmmaker known for leading roles in dramatic and comedic feature films. He has received Academy Awards for Best Actor and the Presidential Medal of Freedom.,gemini-3.8-flash,2026-09-10T00:37:51.195Z
Keanu Reeves,Film and TV,Actors,true,"Canadian actor known for starring roles in the ""Matrix"", ""John Wick"", and ""Bill & Ted"" film franchises. He works as a film actor across the action, science fiction, and drama genres.",gemini-3.8-flash,2026-09-10T00:37:50.746Z
Robert Downey Jr.,Film and TV,Actors,true,"American actor known for portraying Tony Stark in the Marvel Cinematic Universe, Sherlock Holmes, and Lewis Strauss in ""Oppenheimer"". He is an Academy Award recipient for Best Supporting Actor.",gemini-3.8-flash,2026-09-10T00:37:50.749Z
Will Smith,Film and TV,Actors,true,"American actor and producer known for his roles in ""The Fresh Prince of Bel-Air"", ""Men in Black"", and ""King Richard"". He is an Academy Award recipient for Best Actor.",gemini-3.8-flash,2026-09-10T00:37:50.751Z
Adam Sandler,Film and TV,Actors,true,"American actor and comedian known for starring in comedy and dramatic films, including ""Happy Gilmore"", ""The Wedding Singer"", and ""Uncut Gems"". He received the Mark Twain Prize for American Humor.",gemini-3.8-flash,2026-09-10T00:37:50.754Z
Denzel Washington,Film and TV,Actors,true,"American actor and director known for dramatic roles in films such as ""Glory"", ""Malcolm X"", and ""Training Day"". He has received Academy Awards for Best Supporting Actor and Best Actor.",gemini-3.8-flash,2026-09-10T00:37:50.756Z
Johnny Depp,Film and TV,Actors,true,"American actor known for portraying Captain Jack Sparrow in the ""Pirates of the Caribbean"" franchise and collaborating on films directed by Tim Burton. He has received a Golden Globe Award.",gemini-3.8-flash,2026-09-10T00:37:50.758Z
Ryan Reynolds,Film and TV,Actors,true,"Canadian-American actor and producer known for portraying the title character in the ""Deadpool"" film series. He works as an actor in feature films and has a star on the Hollywood Walk of Fame.",gemini-3.8-flash,2026-09-10T00:37:50.761Z
Timothée Chalamet,Film and TV,Actors,true,"American actor known for roles in feature films including ""Call Me by Your Name"", ""Dune"", and ""Wonka"". He has received nominations for the Academy Award and Golden Globe Award.",gemini-3.8-flash,2026-09-10T00:37:50.763Z
Chris Hemsworth,Film and TV,Actors,true,"Australian actor known for portraying Thor in the Marvel Cinematic Universe and starring in action films such as ""Extraction"". He works as a film actor in studio productions.",gemini-3.8-flash,2026-09-10T00:37:50.765Z
George Clooney,Film and TV,Actors,true,"American actor, director, and producer known for his roles in the television series ""ER"" and films including ""Ocean's Eleven"" and ""Syriana"". He has received Academy Awards for acting and producing.",gemini-3.8-flash,2026-09-10T00:37:50.768Z
Harrison Ford,Film and TV,Actors,true,"American actor known for portraying Han Solo in the ""Star Wars"" franchise and the title character in the ""Indiana Jones"" series. He has received the AFI Life Achievement Award.",gemini-3.8-flash,2026-09-10T00:37:50.770Z
Ryan Gosling,Film and TV,Actors,true,"Canadian actor known for his roles in films such as ""The Notebook"", ""La La Land"", and ""Barbie"". He has received a Golden Globe Award and Academy Award nominations.",gemini-3.8-flash,2026-09-10T00:37:50.773Z
Tom Holland,Film and TV,Actors,true,"English actor known for playing Peter Parker in the Marvel Cinematic Universe and starring in films such as ""The Impossible"" and ""Uncharted"". He received the BAFTA Rising Star Award.",gemini-3.8-flash,2026-09-10T00:37:50.775Z
Ben Affleck,Film and TV,Actors,true,"American actor, director, and screenwriter known for films such as ""Good Will Hunting"", ""The Town"", and ""Argo"". He has received Academy Awards for Best Original Screenplay and Best Picture.",gemini-3.8-flash,2026-09-10T00:37:50.776Z
Chris Evans,Film and TV,Actors,true,"American actor known for playing Captain America in the Marvel Cinematic Universe and starring in films such as ""Snowpiercer"" and ""Knives Out"". He works as a film actor and Broadway performer.",gemini-3.8-flash,2026-09-10T00:37:50.777Z
Jim Carrey,Film and TV,Actors,true,"Canadian-American actor and comedian known for roles in films such as ""The Mask"", ""The Truman Show"", and ""Eternal Sunshine of the Spotless Mind"". He has received Golden Globe Awards.",gemini-3.8-flash,2026-09-10T00:37:50.780Z
Matt Damon,Film and TV,Actors,true,"American actor, producer, and screenwriter known for starring in the ""Bourne"" film series, ""Good Will Hunting"", and ""The Martian"". He received an Academy Award for Best Original Screenplay.",gemini-3.8-flash,2026-09-10T00:37:50.781Z
Pedro Pascal,Film and TV,Actors,true,"Chilean-born American actor known for starring in television series including ""The Mandalorian"", ""The Last of Us"", and ""Game of Thrones"". He has received Primetime Emmy and Golden Globe Award nominations.",gemini-3.8-flash,2026-09-10T00:37:50.783Z
Sylvester Stallone,Film and TV,Actors,true,"American actor, screenwriter, and director known for creating and starring in the ""Rocky"" and ""Rambo"" film franchises. He has received a Golden Globe Award and Academy Award nominations.",gemini-3.8-flash,2026-09-10T00:37:50.785Z
Chris Pratt,Film and TV,Actors,true,"American actor known for playing Star-Lord in the Marvel Cinematic Universe and Owen Grady in the ""Jurassic World"" franchise. He works as an actor in feature films and television series.",gemini-3.8-flash,2026-09-10T00:37:50.786Z
Christian Bale,Film and TV,Actors,true,Christian Bale is an actor known for portraying Bruce Wayne in the Dark Knight trilogy and Dicky Eklund in The Fighter. He won an Academy Award for Best Supporting Actor for his role in The Fighter.,gemini-3.8-flash,2026-09-10T00:37:51.532Z
Jack Black,Film and TV,Actors,true,"Jack Black is an actor and musician known for roles in School of Rock, King Kong, and Jumanji: Welcome to the Jungle, and for voicing Po in the Kung Fu Panda franchise. He performs in the rock band Tenacious D.",gemini-3.8-flash,2026-09-10T00:37:51.533Z
Mark Wahlberg,Film and TV,Actors,true,"Mark Wahlberg is an actor and producer known for his roles in Boogie Nights, The Departed, and The Fighter. He received Academy Award nominations for acting in The Departed and producing The Fighter.",gemini-3.8-flash,2026-09-10T00:37:51.534Z
Michael B. Jordan,Film and TV,Actors,true,Michael B. Jordan is an actor and director known for portraying Adonis Creed in the Creed series and Erik Killmonger in Black Panther. He made his feature film directorial debut with Creed III.,gemini-3.8-flash,2026-09-10T00:37:51.535Z
Robert Pattinson,Film and TV,Actors,true,Robert Pattinson is an actor who played Edward Cullen in The Twilight Saga and the title role in The Batman. His work includes roles in independent dramas such as Good Time and The Lighthouse.,gemini-3.8-flash,2026-09-10T00:37:51.536Z
Henry Cavill,Film and TV,Actors,true,"Henry Cavill is an actor who portrayed Superman in the DC Extended Universe, including Man of Steel, and Geralt of Rivia in the television series The Witcher. He also appeared in Mission: Impossible – Fallout.",gemini-3.8-flash,2026-09-10T00:37:51.536Z
Jason Momoa,Film and TV,Actors,true,Jason Momoa is an actor who played Aquaman in the DC Extended Universe and Khal Drogo in the television series Game of Thrones. He also starred in the television series See and the science-fiction film Dune.,gemini-3.8-flash,2026-09-10T00:37:51.537Z
Nicolas Cage,Film and TV,Actors,true,"Nicolas Cage is an actor known for leading roles in Leaving Las Vegas, The Rock, and National Treasure. He won an Academy Award for Best Actor for Leaving Las Vegas.",gemini-3.8-flash,2026-09-10T00:37:51.538Z
Paul Rudd,Film and TV,Actors,true,"Paul Rudd is an actor known for playing Scott Lang in the Ant-Man and Avengers films, as well as roles in Clueless and Anchorman: The Legend of Ron Burgundy. He also appeared in the series Friends.",gemini-3.8-flash,2026-09-10T00:37:51.539Z
Zac Efron,Film and TV,Actors,true,"Zac Efron is an actor who starred in the High School Musical films, the comedy Neighbors, and the biographical drama The Iron Claw. He won a Daytime Emmy Award for the documentary series Down to Earth with Zac Efron.",gemini-3.8-flash,2026-09-10T00:37:51.540Z
Ben Stiller,Film and TV,Actors,true,"Ben Stiller is an actor, director, and producer known for starring in Meet the Parents, Zoolander, and Night at the Museum. He directed the comedy Tropic Thunder and directed episodes of the drama series Severance.",gemini-3.8-flash,2026-09-10T00:37:51.541Z
Cillian Murphy,Film and TV,Actors,true,Cillian Murphy is an actor known for portraying J. Robert Oppenheimer in Oppenheimer and Thomas Shelby in the television series Peaky Blinders. He won the Academy Award for Best Actor for Oppenheimer.,gemini-3.8-flash,2026-09-10T00:37:51.542Z
Daniel Craig,Film and TV,Actors,true,"Daniel Craig is an actor who played James Bond across several films beginning with Casino Royale, and detective Benoit Blanc in the Knives Out series. He has also performed in Broadway theater productions.",gemini-3.8-flash,2026-09-10T00:37:51.542Z
Daniel Radcliffe,Film and TV,Actors,true,"Daniel Radcliffe is an actor who portrayed the title character in the Harry Potter film series. He has also performed on stage, winning a Tony Award for the Broadway revival of Merrily We Roll Along.",gemini-3.8-flash,2026-09-10T00:37:51.543Z
Jake Gyllenhaal,Film and TV,Actors,true,"Jake Gyllenhaal is an actor known for roles in Donnie Darko, Brokeback Mountain, and Nightcrawler. He received an Academy Award nomination for Best Supporting Actor for Brokeback Mountain and Tony Award nominations for Broadway performances.",gemini-3.8-flash,2026-09-10T00:37:51.544Z
Steve Carell,Film and TV,Actors,true,Steve Carell is an actor and writer known for playing Michael Scott in the comedy series The Office and starring in The 40-Year-Old Virgin. He received an Academy Award nomination for Best Actor for Foxcatcher.,gemini-3.8-flash,2026-09-10T00:37:51.544Z
Andrew Garfield,Film and TV,Actors,true,"Andrew Garfield is an actor who played Peter Parker in The Amazing Spider-Man films. He won a Tony Award for Angels in America and received Academy Award nominations for Best Actor for Hacksaw Ridge and Tick, Tick... Boom!.",gemini-3.8-flash,2026-09-10T00:37:51.545Z
Austin Butler,Film and TV,Actors,true,"Austin Butler is an actor who played Elvis Presley in the biographical film Elvis, winning a BAFTA Award for Best Actor in a Leading Role. He also portrayed Feyd-Rautha Harkonnen in Dune: Part Two.",gemini-3.8-flash,2026-09-10T00:37:51.546Z
Glen Powell,Film and TV,Actors,true,"Glen Powell is an actor and screenwriter known for starring in Top Gun: Maverick, Anyone but You, and Twisters. He also co-wrote and starred in the comedy thriller Hit Man.",gemini-3.8-flash,2026-09-10T00:37:51.547Z
Jacob Elordi,Film and TV,Actors,true,"Jacob Elordi is an actor known for playing Nate Jacobs in the television series Euphoria, Elvis Presley in Priscilla, and Felix Catton in Saltburn. He received a BAFTA Award nomination for his role in Saltburn.",gemini-3.8-flash,2026-09-10T00:37:51.547Z
Seth Rogen,Film and TV,Actors,true,"Seth Rogen is an actor, writer, and filmmaker known for films such as Knocked Up and Superbad and the series Pam & Tommy. He works in comedy and drama, receiving Primetime Emmy Award nominations.",gemini-3.8-flash,2026-09-10T00:38:00.816Z
Adam Driver,Film and TV,Actors,true,"Adam Driver is an actor known for playing Kylo Ren in the Star Wars sequel trilogy and starring in Marriage Story and BlacKkKlansman. He works in cinema and theatre, receiving Academy Award and Tony Award nominations.",gemini-3.8-flash,2026-09-10T00:38:00.817Z
Jeremy Allen White,Film and TV,Actors,true,"Jeremy Allen White is an actor known for playing Lip Gallagher in Shameless and Carmy Berzatto in The Bear. He works in television and film, winning Primetime Emmy Awards and Golden Globe Awards.",gemini-3.8-flash,2026-09-10T00:38:00.818Z
Jonah Hill,Film and TV,Actors,true,"Jonah Hill is an actor, director, and screenwriter known for roles in Superbad, Moneyball, and The Wolf of Wall Street. He works in feature films, receiving Academy Award nominations for Best Supporting Actor.",gemini-3.8-flash,2026-09-10T00:38:00.819Z
Tom Hiddleston,Film and TV,Actors,true,"Tom Hiddleston is an actor known for portraying Loki in the Marvel Cinematic Universe and starring in The Night Manager. He works in film, television, and theatre, winning a Golden Globe Award and a Laurence Olivier Award.",gemini-3.8-flash,2026-09-10T00:38:00.820Z
Anthony Mackie,Film and TV,Actors,true,"Anthony Mackie is an actor known for portraying Sam Wilson in the Marvel Cinematic Universe and appearing in The Hurt Locker. He works across studio feature films, television series, and Broadway theatre productions.",gemini-3.8-flash,2026-09-10T00:38:00.820Z
Paul Mescal,Film and TV,Actors,true,"Paul Mescal is an actor known for the miniseries Normal People and films such as Aftersun and Gladiator II. He works in film and theatre, winning a Laurence Olivier Award and receiving an Academy Award nomination.",gemini-3.8-flash,2026-09-10T00:38:00.821Z
Sebastian Stan,Film and TV,Actors,true,"Sebastian Stan is an actor known for portraying Bucky Barnes in the Marvel Cinematic Universe and starring in Pam & Tommy and The Apprentice. He works in film and television, winning a Silver Bear at the Berlin International Film Festival.",gemini-3.8-flash,2026-09-10T00:38:00.821Z
Aaron Taylor-Johnson,Film and TV,Actors,true,"Aaron Taylor-Johnson is an actor known for roles in Kick-Ass, Nocturnal Animals, Tenet, and Kraven the Hunter. He works in studio feature films, winning a Golden Globe Award for Best Supporting Actor.",gemini-3.8-flash,2026-09-10T00:38:00.822Z
Alexander Skarsgård,Film and TV,Actors,true,"Alexander Skarsgård is an actor known for television roles in True Blood, Big Little Lies, and Succession, as well as films like The Northman. He works in film and television, winning a Primetime Emmy Award and a Golden Globe Award.",gemini-3.8-flash,2026-09-10T00:38:00.823Z
Barry Keoghan,Film and TV,Actors,true,"Barry Keoghan is an actor known for roles in Dunkirk, The Banshees of Inisherin, and Saltburn. He works in international and independent feature films, winning a BAFTA Award and receiving an Academy Award nomination.",gemini-3.8-flash,2026-09-10T00:38:00.824Z
David Corenswet,Film and TV,Actors,true,"David Corenswet is an actor known for starring in television series such as The Politician and Hollywood, and playing Clark Kent in Superman. He works in studio feature films and television productions.",gemini-3.8-flash,2026-09-10T00:38:00.825Z
Joe Keery,Film and TV,Actors,true,"Joe Keery is an actor known for playing Steve Harrington in the series Stranger Things and appearing in the film Free Guy. He works in television, film, and theatre, winning a Screen Actors Guild Award for ensemble performance.",gemini-3.8-flash,2026-09-10T00:38:00.826Z
Michael Cera,Film and TV,Actors,true,"Michael Cera is an actor known for the television series Arrested Development and films including Superbad, Juno, and Scott Pilgrim vs. the World. He works across film, television, and Broadway theatre, receiving a Tony Award nomination.",gemini-3.8-flash,2026-09-10T00:38:00.826Z
Nicholas Hoult,Film and TV,Actors,true,"Nicholas Hoult is an actor known for roles in the X-Men film series, Mad Max: Fury Road, and the series The Great. He works in feature films and television, receiving Primetime Emmy Award nominations.",gemini-3.8-flash,2026-09-10T00:38:00.828Z
Walton Goggins,Film and TV,Actors,true,"Walton Goggins is an actor known for television roles in The Shield, Justified, The Righteous Gemstones, and Fallout. He works in television and feature films, receiving Primetime Emmy Award nominations.",gemini-3.8-flash,2026-09-10T00:38:00.829Z
Adam Scott,Film and TV,Actors,true,"Adam Scott is an actor and producer known for portraying Ben Wyatt in Parks and Recreation and Mark Scout in Severance. He works in television and film, receiving Primetime Emmy Award nominations for acting and producing.",gemini-3.8-flash,2026-09-10T00:38:00.829Z
Chiwetel Ejiofor,Film and TV,Actors,true,"Chiwetel Ejiofor is an actor and filmmaker known for starring in 12 Years a Slave and appearing in Doctor Strange. He works in film, television, and theatre, winning a BAFTA Award and receiving an Academy Award nomination.",gemini-3.8-flash,2026-09-10T00:38:00.830Z
